category,text
Edukasi,"Edukasi Bahaya DBD, Kelurahan Cipete Utara Gelar Lomba Berantas Sarang Nyamuk Kelurahan Cipete Utara, Kebayoran Baru, Jakarta Selatan menggelar Lomba PSN (Pemberantasan SarangNyamuk) untuk mencegah penyakit Demam Berdarah Dengue (DBD) yang tengah mengancam Ibu Kota. Lurah Cipete Utara Muhammad Yohan mengungkapkan lomba PSN ini diprakasai oleh Peguyuban Tokoh Masyarakat (Petomas). Tujuannya, memberikan edukasi kepada warga akan bahayanya DBD dan upaya pencegahannya. ""Lomba PSN ini murni diinisiasi oleh Patomas. Patomas sendiri dibentuk serta mendedikasikan dirinya untuk men-supportsegala kegiatan di Kelurahan Cipete Utara, nah salah satu Program kerjanya di tahun 2019 adalah Lomba PSN,"" ujar Yohan ketika dimintai keterangan, Kamis (24/1/2019). Baca juga:Jagakarsa Paling Rawan DBD di Jakarta Selatan Yohan mengapresiasi dan mengucapkan terima kasih atas kepedulian Patomas dengan menggelar Lomba PSN. Menurutnya, lomba ini dapat memacu warga untuk menjadi Juru Pemantau Jentik (Jumantik) mandiri. ""Karena tujuan Jumantik itu adalah mengedukasi warga tentang bahaya DBD dan upaya pencegahannya. Selain itu, yang efektif ya menjadi Jumantik Mandiri di setiap rumah yang dapat memastikan kediamannya jauh dari DBD,"" kata dia. Sementara, Ketua Paguyuban Tokoh Masyarakat (Patomas) Yusuf menambahkan, Lomba PSN nantinya akan diikuti oleh 114 kader Jumantik yang tersebar di sebelas RW di kelurahan Cipete Utara. ""Setiap tiga bulan sekali kita lakukan evaluasi dan pemenang lomba akan diumumkan di akhir tahun, nanti yang menjadi juri yaitu pihak Kelurahan dan juga Puksesmas,"" kata Yusuf. Pemprov DKI Jakarta memprediksi tiga wilayah yang masuk dalam kategori waspada untuk bulan Januari. Ketiga wilayah itu yakni Jakarta Barat, Jakarta Selatan, dan Jakarta Timur. Di Jakarta Selatan, setidaknya sudah ada 118 kasus DBD sepanjang Januari 2019. Sementara pada Februari dan Maret, seluruh wilayah Jakarta masuk ke dalam kategori waspada. Fase waspada DBD tersebut dipengaruhi peningkatan curah hujan dan perubahan iklim. Masyarakat juga diimbau untuk melakukan Gerakan 1 Rumah 1 Jumantik (G1R1J) dan melaksanakan Pemberantasan Sarang Nyamuk (PSN) 3M (menguras, menutup, mendaur ulang) Plus seminggu sekali."
Edukasi,"Menkominfo Dorong Investasi di Start Up Edukasi dan Kesehatan Menteri Komunikasi dan Informatika RI (Menkominfo)Rudiantaramendorong para calon investor untuk berinvestasi di perusahaanstart upyang bergerak di bidang edukasi (edutech) dankesehatan(healthtech). Alasannya, kata Rudiantara, kedua sektor itu mempunyai anggaran yang lebih besar dari sektor lainnya dalam Anggaran Pendapatan dan Belanja Negara RI (APBN). Rudiantara mengatakan, start up yang bergerak di bidang edutech berpeluang besar menjadi start up unicorn berikutnya dari Indonesia. Unicorn adalah sebutan bagi start up yang memiliki valuasi lebih dari 1 miliar dollar AS. Baca juga:Kompak, 3 Edutech Indonesia Serukan Hal Ini di Edtech Asia Summit 2018 ""Mengapapendidikan? Karena APBN kita itu berdasarkan undang-undang dasar 20 persen itu harus digelontorkan untuk pendidikan,"" kata Rudiantara dalam Nexticorn International Convention diKuta, Bali, Sabtu (13/10/2018). Rudiantara menuturkan, tahun ini pemerintah menggelontorkan dana sebesar Rp 400 triliun untuk sektor pendidikan yang angkanya dapat bertambah pada tahun depan. ""Itu kan kalau dapat satu atau dua persen saja sudah Rp 10 triliun kalau dua persen. Jadi akan besar,"" ujar Rudiantara. Sektor healthtech, kata Rudiantara, juga mempunyao peluang yang sama karena pemerintah wajib menganggarkan 5 persen APBN untuk sektor kesehatan. Baca juga:Fintech Rentan Disalahgunakan untuk Membiayai Teroris ""Lagi-lagi, 5 persen itu sekira Rp 100 triliun lebih dibelanjakan. Kalau satu persennya saja sudah angka yang luar biasa besar,"" katanya. Di samping itu, Rudiantara juga menyebut sektor fintech juga layak disuntik investasi karena perkembangannya yang begitu pesat. Akhir pekan ini, Kemenkominfo menggelar Nexticorn Intenational Convention di Kuta, Bali, guna mempertemukan start up lokal dengan para calon investor. Terdapat 88 perusahaan modal ventura dan 70 start up lokal terpilih yang mengikuti kegiatan tersebut."
Edukasi,"Hambatan Volta Jual Motor Listrik, Masih Perlu Edukasi dan Regulasi Volta, merekmotor listrikdalam negeri terkenal dengan produknya yang cukup ekonomis. Contoh saja, Volta 401 setelah subisidi harganya di bawah Rp 10 juta, bahkan di PEVS 2024 ada tambahan diskon Rp 1 juta. Hanya saja, menjual motor listrik dengan harga yang miring tidak membuat Volta terhindar dari hambatan. Masih ada saja kendala yang ditemui terutama di konsumen yang masih khawatir soal keandalan motornya. Wiwin Dewi Herawati, Chief Marketing Officer Volta Indonesia Semesta mengatakan, sejak awal jual motor listrik, banyak yang khawatir soal baterai dan banjir. Baca juga:Biaya Resmi Bikin dan Perpanjang SIM per Mei 2024 KOMPAS.com/FATHANVolta Mandala Brilliant Yellow yang dijual terbatas, harganya sama, cuma Rp 10,95 juta setelah potong subsidi ""Kita menanganinya dengan mengeluarkan testimoni yang sudah menggunakan motor listrik. Nanti biar jadiword of mouth, pengalaman orang yang pakai motor listrik tidak ada kendala,"" kata Wiwin di PEVS 2024, Selasa (30/4/2024). Menurutnya, orang Indonesia sangat responsif dengan adanya tanggapan negatif soal motor listrik. Bahkan cenderung langsung percaya tanpa mencari tahu atau bukti nyata. ""Padahal banyak juga yang kasih testimoni (positif),"" kata Wiwin. Baca juga:Volta Rilis Mandala Warna Baru, Ada Diskon Khusus Selama PEVS  Lalu, Wiwin juga berharap ke pemerintah agar memudahkan proses pendaftaran model baru. Seperti di IIMS 2024, Volta memamerkan prototipe motor listrik baru dan menarik banyak peminat. ""Kita punya produk baru, itu kan harus antre (daftar). Proses ini mungkin dibuat lebih mudah lagi supaya penetrasi ke masyarakat lebih gampang lagi,"" kata Wiwin. Saat memamerkan produknya di IIMS 2024, Wiwin bilang banyak yang tanya kapan dijual dan dapat subsidi atau tidak. Kalau proses pendaftarannya cepat, maka akan makin mudah produsen menjual motor baru, pilihan makin banyak."
Edukasi,"Panduan Belajar dari Rumah di TV Edukasi SD Kelas 1-6, Jumat 16 April 2021 Guna mendukung pembelajaran jarak jauh (PJJ) serta sebagai alternatif pembelajaran di masa pandemi, Kemendikbud akan melanjutkan programBelajar dari Rumah(BDR) yang ditayangkan diTV Edukasimulai 1 April 2021 Selain TV Edukasi, untuk memperluas cakupan tayangan ProgramBelajar Dari Rumah(BDR), Kementerian Pendidikan dan Kebudayaan (Kemendikbud) menyiapkan program BDR ditayangkan di Kanal YouTube Televisi Edukasi dan Kanal YouTube Rumah Belajar Kemdikbud untuk jenjang pendidikan PAUD danSekolahDasar (SD). Tayangan tersebut dimulai tanggal 1 April sampai 30 Juni 2021, Senin-Jumat pukul 08.00 sampai 11.30 WIB. Baca juga:Indofood Buka Lowongan Kerja 2021 untuk Lulusan SMA/SMK-S1 Berikut tautan Youtube TV Edukasi:kelas 1:http://ringkas.kemdikbud.go.id/BDRSDkelas1kelas 2:http://ringkas.kemdikbud.go.id/BDRSDkelas2kelas 3:http://ringkas.kemdikbud.go.id/BDRSDkelas3kelas 4:http://ringkas.kemdikbud.go.id/BDRSDkelas4kelas 5:http://ringkas.kemdikbud.go.id/BDRSDkelas5kelas 6:http://ringkas.kemdikbud.go.id/BDRSDkelas6 Kemendikbud mengajak para pendidik, dan peserta didik serta orang tua untuk memanfaatkan kanal atau alternatif pembelajaran yang telah disediakan tersebut. Tetap terapkan protokol kesehatan dengan menjaga jarak, rajin mencuci tangan, dan memakai masker untuk mencegah penyebaran COVID-19. Untuk menyampaikan masukan dan saran mengenai program BDR, dapat mengisi survei di s.id/surveibdr, mengunjungi website http://ult.kemdikbud.go.id/, atau mengirim surat elektronik ke:pengaduan@kemdikbud.go.id. Baca juga:Lowongan Kerja Wings Group untuk Lulusan SMA/SMK, D3 dan S1-S2 Tayangan untuk SD akan mengikuti modul pembelajaran sesuai kurikulum (darurat) dengan mengutamakan pemenuhan kompetensi literasi, numerasi, dan penguatan karakter. Agarbelajar dari rumahlewat TV Edukasi menjadi lebih bermakna, berikut panduan untuk orangtua dalam mendamping anak SD untuk hari ini, Jumat 16 April 2021: Tayangan: Dari Mana Padi Berasal? Sinopsis: Satria kelaparan setelah bermain di halaman. Ia lalu pulang untuk makan. Kebetulan Ibu baru saja memasak bubur dan menjelaskan cara membuatnya. Melalui masakan bubur, Ibu juga memaparkan proses terjadinya nasi yang dimulai dari penanaman dan pengolahan padi hingga menjadi beras. Selain itu, Satria mengajak teman-teman membaca BALIMA (Baca Lima Kata) dengan benar, serta mempelajari penulisan kata yang memiliki dua suku kata. Kak Erna lalu membantu Satria membuat proyek poster tahapan menanam padi. Muatan dan materi pembelajaran: Literasi Numerasi Penguatan Karakter Baca juga:Ini Biaya Kuliah di Universitas Indonesia 2021 Program S1 Reguler Tayangan: Untung Ada Pak Tani dan Bu Tani Sinopsis:"
Edukasi,"Kurangi Limbah Makanan, IKEA dan Kedubes Swedia Edukasi Melalui Buku Melihat fakta miris bshwa Indonesia termasuk dalam urutan ke dua negara paling banyak menghasilkansampah makanandi dunia,IKEA, perusahaan ritel asal Swedia berkolaborasi dengan Kedutaan Besar Swedia dan Greeneration Foundation meluncurkan program Indonesian Children Care for the Environment (ICCFTE). Program ini ditujukan untuk mengedukasi anak-anak agar dapat menghargai makanan serta tentang pengajaran pengelolaanlimbah makanan. Untuk memberikan edukasi secara langsung kepada anak tentang pentingnya menghabiskan atau menghargai makanan, diwujudkan dalam bentuk buku yang berjudul BANA Si Pisang Berjalan-Jalan. Baca juga:12 Benda yang Sebenarnya Tak Boleh Dibuang ke Tempat Sampah ""Indonesia merupakannegara penghasil sampah makananterbanyak ke dua di dunia, sedangkan di sisi lain ada banyak orang yang masih kelaparan. Maka dari itu, edukasi kepada anak sedini mungkin tentang menghargai makanan ini sangat penting dilakukan,"" ungkap Muhammad Fahrian Yovantra Head of Program Division Greeneration Foundation pada Media Briefing Peluncuran Buku BANA, Jakarta, Rabu (18/3/2021) lalu. Sementara itu, buku yang memiliki ilustrasi buah pisang ini, memiliki arti tersendiri. Menurut penulisnya Tini Martini Tapran, dan Kandi Sekarwulan mereka memilih buah pisang sebagai ilustrasi karena pisang merupakan makanan yang dikenal banyak orang. ""Inspirasinya adalah ketika saya berjalan-jalan dan melihat jika buah pisang ini bisa diolah menjadi beragam makanan,"" tambah Kandi. Dalam bukunya diceritakan bagaimana Bana tokoh utamanya berjalan dari kebun hingga bisa sampai ke meja makan.  Baca juga:5 Sampah Dapur yang Bisa Suburkan Tanaman Perjalanan bahan makanan hingga sampai ke meja makan sangat panjang, sehingga melalui buku ini ingin disampaikan untuk lebih menghargai makanan. Untuk mendapatkan buku BANA ini masyarakat dapat mengunduh secara gratis di lama situs IKEA dan Greeneration Foundation. ""Kami selalu percaya bahwa makanan terlalu berharga untuk dibuang. Hal ini yang menjadi semangat kami terus mengedukasi publik tentang pentingnya menghargai setiap makanan dan mengurangi limbah makanan. Kami juga yakin pengetahuan ini harus diajarkan sejak dini, oleh karena ituIKEA Indonesiabersama Kedutaan Besar Swedia dan Greeneration Foundation memperkenalkan program ICCFTE,"" ujar Ririh Dibyono, Food Commercial Manager IKEA Indonesia. Sementara itu, Natasha Kindangen, Project Officer Kedutaan Besar Swedia untuk Indoneia dan Timor Leste, percaya bahwa perubahan dapat dilakukan oleh semua orang bahkan anak-anak sekalipun. “Swedia memiliki misi untuk menciptakan masyarakat bebas limbah, sehingga manajemen limbah dan daur ulang adalah identitas kami,"" sebut Natasha."
Edukasi,"Edukasi Publik soal Pembuatan Polisi Tidur Perlu Ditingkatkan Polisi tidur, yang biasa ditemukan di jalan-jalan lingkungan perumahan dan sekitar sekolah, berfungsi untuk memperlambat laju kendaraan demikeselamatanpengguna jalan. Namun, tidak semuapolisi tiduryang ada saat ini dibuat sesuai dengan standar yang telah ditetapkan, sehingga malah menimbulkan ketidaknyamanan atau bahkan risiko kecelakaan. Menurut Victor Assani, Ketua Bidang Road Safety and Motorsport Asosiasi Industri Sepeda Motor Indonesia (AISI), polisi tidur memang diperlukan, tetapi harus dibuat sesuai ketentuan yang ada. Baca juga:Nissan Serena e-Power Unjuk Gigi di Surabaya ""Polisi tidur memang ada dan dibutuhkan, namun harus sesuai dengan ketentuan. Baik proses pembuatan, bentuk, maupun ukurannya harus mematuhiaturan. Jadi, tidak bisa sembarangan dalam membuat polisi tidur,"" ujar Victor kepadaKompas.com, Kamis (29/8/2024). Victor juga menyoroti perlunya peran aktif pemerintah dan pihak kepolisian dalam memberikan edukasi kepada masyarakat terkait hal ini. Astra DaihatsuIlustrasi polisi tidur. ""Pemerintah dan polisi juga harus memberikan edukasi seperti ini kepada publik. Masalah kita adalah peraturan sudah sangat baik dan lengkap, namun sosialisasi di masyarakat masih sangat kurang,"" lanjutnya. Menurut Victor, peningkatan sosialisasi ini penting dilakukan agar masyarakat memahami pentingnya mengikuti aturan dalam pembuatan polisi tidur sehingga tidak hanya menghindari risiko kecelakaan, tetapi juga menjaga kenyamanan berkendara. Baca juga:Hyundai Bakal Bikin Mobil Hybrid dari Segmen Bawah sampai Atas Adapun peraturan yang dimaksud adalah Peraturan Menteri Perhubungan No. 14 Tahun 2021, yang menjelaskan bahwa ada standar khusus yang harus diikuti dalam proses pembuatan, baik dari segi dimensi maupun bahan yang digunakan. Dalam pasal 3 ayat 2 Permenhub tersebut, dijelaskan mengenai alatpembatas kecepatanmeliputi Speed Bump, Speed Hump, dan Speed Table, yang mencakup berbagai jenis atau model polisi tidur, baik secara bahan maupun dimensinya, seperti tinggi 5 cm hingga 9 cm dengan kelandaian maksimal 15 derajat."
Edukasi,"Isuzu Bogor Berikan Edukasi Pelanggan Soal Program Euro 4  BOGOR, KOMPAS.com– Mulai April 2022,pemerintahakan memberlakukan standaremisi gas buangkendaraan beroda empat atau lebih yang bertujuan untuk mengurangi emisi gas buang rumah kaca. Dasar hukumnya Peraturan Menteri Lingkungan Hidup dan Kehutanan RI No. P.20/MENLHK/SETJEN-KUM.1/3/2017 Terhadap ketentuan ini, PT.IsuzuAstra Motor Indonesia (IAMI) selaku Agen Pemegang Merek (APM) mobil Isuzu yang dikenal sebagai raja diesel sudah menyiapkan diri sejak 10 tahun silam. Baca juga:Bukan 150 cc, Ini Alasan Yamaha Fazzio Pakai Mesin 125 cc ""Pengalaman Isuzu 10 tahun dengan mesincommon-railmembuktikan kalau produk Isuzu diterima dengan baik oleh masyarakat dan mekanik Isuzu juga sudah lebih siap. Begitu juga dengan penyediaan suku cadang,” kata Product Development Division Head PT Astra Isuzu Motor Indonesia (IAMI) Tonton Eko dalam keterangannya, Kamis (27/1/2022). Meski kesiapannya sudah dilakukan sejak peluncuran Isuzu Giga yang sudah mengaplikasi mesincommon-railpada tahun 2011, namun dealer-dealer Isuzu di seluruh Indonesia tetap konsisten melakukan sosialisasi penerapan emisi gas buangEuro 4di wilayahnya masing-masing. IsuzuPelatihan standarisasi Euro 4 oleh Isuzu Astra Bogor demi menyambut Euro 4 dari Pemerintah Salah satunya dilakukan Astra Isuzu Bogor yang melakukan kegiatan Isuzu Service Clinic di Maseng, Desa Warung Menteng, Caringin, Bogor, baru-baru ini. “Ini akan dilaksanakan rutin setiap bulan di beberapa titik strategis operasional truk, namun tidak terbatas Customer Astra Isuzu Bogor,” kata Remon Agit Rimang, Kepala Cabang Astra Isuzu Bogor. Baca juga:Viral, Unggahan tentang Razia STNK hingga Sita Kendaraan Dalam kegiatan CSR nya itu, Astra Isuzu Bogor menyediakan jasa pengecekan kendaraan dan uji emisi secara gratis, serta penjualan pelumas mesin dengan harga ekonomis. “Kelulusan uji emisi memberikan dampak yang baik bagi lingkungan maupun kesehatan kendaraan itu sendiri,” ucap Remon. “Untuk layanan service kendaraan Isuzu, Customer tidak perlu datang ke bengkel resmi, kami juga bisa jemput dan service ke lokasi mereka beroperasi,” imbuhnya. Kegiatan yang berlangsung dari jam 10.00 hingga jam 17.00 itu berhasil menarik minat sekitar 30 mobil truk Isuzu (kebanyakan truk tangki air). Sekadar informasi, lokasi yang dipilih Astra Isuzu Bogor itu merupakan jalur truk tangki mengambil dan mengantar air bersih pegunungan di Caringin."
Edukasi,"Jadwal dan Link Belajar dari Rumah TV Edukasi, Kamis 15 April 2021 Kementerian Pendidikan dan Kebudayaan (Kemendikbud) telah menyiapkan sejumlah alternatif pembelajaran memasuki semester genap tahun ajaran 2020/2021 bilasekolahbelum bisa menyelenggarakan pembelajaran tatap muka. Guna mendukung pembelajaran jarak jauh (PJJ) serta sebagai alternatif pembelajaran di masa pandemi, Kemendikbud akan melanjutkan programBelajar dari Rumah(BDR) yang ditayangkan diTV Edukasimulai 1 April 2021 Selain TV Edukasi, untuk memperluas cakupan tayangan ProgramBelajar Dari Rumah(BDR), Kementerian Pendidikan dan Kebudayaan (Kemendikbud) menyiapkan program BDR ditayangkan di Kanal YouTube Televisi Edukasi dan Kanal YouTube Rumah Belajar Kemdikbud untuk jenjang pendidikan PAUD danSekolahDasar (SD). Baca juga:Targetkan 17,9 Juta Siswa, Ini Cara Daftar KIP Sekolah SD-SMA 2021 Tayangan tersebut dimulai tanggal 1 April sampai 30 Juni 2021, Senin-Jumat pukul 08.00 sampai 11.30 WIB. Berikut tautan Youtube TV Edukasi:kelas 1:http://ringkas.kemdikbud.go.id/BDRSDkelas1kelas 2:http://ringkas.kemdikbud.go.id/BDRSDkelas2kelas 3:http://ringkas.kemdikbud.go.id/BDRSDkelas3kelas 4:http://ringkas.kemdikbud.go.id/BDRSDkelas4kelas 5:http://ringkas.kemdikbud.go.id/BDRSDkelas5kelas 6:http://ringkas.kemdikbud.go.id/BDRSDkelas6 Kemendikbud mengajak para pendidik, dan peserta didik serta orang tua untuk memanfaatkan kanal atau alternatif pembelajaran yang telah disediakan tersebut. Tetap terapkan protokol kesehatan dengan menjaga jarak, rajin mencuci tangan, dan memakai masker untuk mencegah penyebaran COVID-19. Baca juga:Peneliti IPB: Tanaman Herbal Ini Berkhasiat Redakan Asam Urat Untuk menyampaikan masukan dan saran mengenai program BDR, dapat mengisi survei di s.id/surveibdr, mengunjungi website http://ult.kemdikbud.go.id/, atau mengirim surat elektronik ke: pengaduan@kemdikbud.go.id. Berikut jadwal terbaru tayangan ""Belajar dari Rumah"" TV Edukasi Kamis 15 April 2021 (jadwal ini dapat berubah sewaktu-waktu sesuai kebijakan penyiaran TVRI dan Kemendikbud): 08.00-08.30:Makanan Sehat (PAUD) 08.30-09.00:Pentingnya Petani bagi Kita (SD Kelas 1) 09.00-09.30:Dari Padi, Jadi Beras, Lalu Nasi (SD Kelas 2) 09.30-10.00:Jangan Sia-siakan Makanan (SD Kelas 3) 10.00-10.30:Mengenal Ekosistem Perairan (SD Kelas 4) Baca juga:Peneliti IPB Temukan Minuman Penurun Gula Darah Berbasis Rempah 10.30-11.00:Terumbu Karang, Denyut Nadi Lautan (SD Kelas 5) 11.00-11.30:Terumbu Karang Indonesia (SD Kelas 6)"
Edukasi,"Megawati Instruksikan Kader PDI-P di Pemda Tingkatkan Edukasi dan Mitigasi Bencana Ketua Umum PDI PerjuanganMegawatiSoekarnoputri berpesan kepada seluruh kadernya untuk meningkatkan edukasi dan mitigasi bencana alam. Pesan ini secara khusus ditujukan bagi kader PDI Perjuangan yang menjabat di eksekutif maupun legislatif pemerintah daerah. ""Kepada gubernur-gubernur (kader PDI-P) yang hadir atau yang belum hadir, ya saya titip ya harus bekerja sama dengan geolog atau BMKG mengetahui wilayah-wilayah mana yang dicirikan titik rawan bencana,"" ujar Megawati dalam pidato penutupan Rakornas PDI-P di JI-Expo, Kemayoran, Jakarta Pusat, Jumat (11/1/2019). ""Seperti di daerahnya Pak Ganjar itu ada Sesar Semarang dan Kendeng, atau yang lain sebagainya, nanti monggo dilihat dulu titik-titik merahnya, daerah yang bahayanya,"" lanjut dia. Baca juga:Kedekatan Megawati dengan Try Sutrisno dan Pesan Pemilu Damai Usai terpetakan dengan baik, Megawati meminta kadernya di eksekutif atau pun legislatif daerah itu untuk menetapkan standard operasional prosedur saat bencana alam terjadi. Harapannya, pemerintah dan masyarakat siap saat bencana alam datang. Dengan demikian, jumlah korban diharapkan juga semakin sedikit. ""Tentu dicari ketentuannya, bagaimana cara-cara untuk menyelematkan warga di daerah terkena bencana. Bukannya setelah bencana terjadi, tapi ini soal early warning system saat itu (bencana alam) diberitakan, ada tahapannya satu dua tiga,"" lanjut Megawati. Baca juga:Kata Gerindra soal Megawati yang Komentari Anak Buah Prabowo Untuk membantu mensosialisasikan hal ini ke seluruh kadernya di pemerintah daerah, Mega juga sudah berkoordinasi dengan Menteri Koordinator Pembangunan Manusia dan Kebudayaan Puan Maharani. Presiden ke-5 RI itu menegaskan bahwa Indonesia secara geografis berada di daerah rawan bencana. Oleh sebab itu, ia berharap kesiapsiagaan masyarakat di dalam menghadapi bencana alam yang dapat datang sewaktu-waktu, harus ditingkatkan."
Edukasi,"Depankan Edukasi, Operasi Zebra 2020 Tidak Ada Target Tilang Kapolri Jenderal Polisi Idham Aziz menginstruksikan seluruh jajaran KorlantasPolrimengedepankan proses edukasi dalam pelaksanaanOperasi Zebra2020 di tengah pandemi Covid-19. Sehingga, penindakan hukum berupatilangatas pengguna kendaraan yang melanggar aturan lalu lintas dan angkutan jalan, serta protokol kesehatan bukan hal utama. ""Berdasarkan arahan pak Kapolri,operasi zebratahun ini mengedepankan simpatik dan edukasi. Tidak ada tilang dan target tilang,"" ujar Kadiv Humas Polri Irjen Argo Yuwono, Kamis (29/10/2020). Baca juga:Persiapan Arus Balik, Kendaraan Niaga Dilarang Masuk Tol Japek MUH. AMRAN AMIROperasi Zebra yang digelar Satlantas Polres Palopo, Kamis (29/10/2020) siang dilakukan dengan menyosialisasikan pencegahan covid-19 dan membagikan Masker kepada pengendara. Kegiatan simpatik pada operasi tersebut, lanjut Argo, berupa penyuluhan, penerangan, pembagian masker, pembagian sembako, serta kegiatan sosial lainnya. ""Sebab, operasi kemanusiaan di tengah pandemi lebih dibutuhkan masyarakat,"" lanjutnya. Kendati demikian, bagi pengendara yang tidak menggunakan atribut lengkap berkendara termasuk dokumen-dokumennya seperti STNK dan SIM, serta berpotensi membahayakan pengendara lain, tetap ditindak sesuai aturan berlaku. Baca juga:Lawan Arah Jadi Pelanggaran Favorit Hari Pertama Operasi Zebra Ada delapan prioritas pelanggaran yang jadi sasaran operasi, yakni pemotor yang tidak menggunakan helm berstandar nasional Indonesia (SNI), pengendara mobil tidan menggunakan sabuk pengaman, dan pengendara kendaraan dalam pengaruh alkohol. Kemudian, pengendara ranmor yang melawan arus, melebihi batas kecepatan, menggunakan ponsel saat berkendara, dan berkendara di bawah umur. Sebagaimana diketahui,Korlantas Polrimenggelar Operasi Zebra 2020 serentah di seluruh wilayah mulai 26 Oktober hingga 8 November 2020."
